UDID,TO_ACTION,secondCateName,GPS_geo
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f09244cb0a13a69,/viewAd,ershouqiche,
5f2364b1c58d162d,GPS,,"(30.642750,106.410477)"
5f2364b1c58d162d,GPS,,"(30.645103,106.411842)"
5f2364b1c58d162d,GPS,,"(30.645033,106.411812)"
5f2364b1c58d162d,GPS,,"(30.642750,106.410477)"
5f2364b1c58d162d,/viewAd,shouji,
5f2364b1c58d162d,/viewAd,shouji,
5f2364b1c58d162d,/viewAd,shouji,
5f2364b1c58d162d,/viewAd,shouji,
5f2364b1c58d162d,/viewAd,shouji,
5f2364b1c58d162d,/viewAd,shouji,
5f3f834372eb4596,GPS,,"(36.776138,119.209808)"
5f3f834372eb4596,GPS,,"(36.777184,119.207062)"
5f3f834372eb4596,/viewAd,siji,
5f3f834372eb4596,/viewAd,siji,
5f3f834372eb4596,/viewAd,siji,
5f3f834372eb4596,/viewAd,songhuoyuan,
5f3f834372eb4596,/viewAd,songhuoyuan,
5f3f834372eb4596,/viewAd,songhuoyuan,
